Control_ID,Domain,Control_Question,Expected_Evidence,Maturity_0_4,Likelihood_1_5,Impact_1_5,Risk_Score,Gap,Recommendation,Owner,Target_Date,Status
GOV-01,Governance & Accountability,Has the organisation assigned responsibility for data protection governance?,DPO appointment or data protection lead terms of reference,,,,,No formal owner identified,Appoint data protection lead/DPO where required and define responsibilities,Senior Management,,Open
GOV-02,Governance & Accountability,Is data protection risk reviewed by senior management?,Management meeting minutes risk dashboard,,,,,No recurring review evidence,Add data protection and cyber risk as standing agenda items,Registered Manager,,Open
GOV-03,Governance & Accountability,Are policies reviewed at least annually?,Policy register version history approvals,,,,,Policies outdated or unsigned,Create policy review calendar and approval workflow,Compliance Lead,,Open
ROP-01,Records of Processing,Does a Record of Processing Activities exist?,ROPA document system inventory data map,,,,,No complete ROPA,Create ROPA covering residents staff suppliers and CCTV,Data Protection Lead,,Open
ROP-02,Records of Processing,Is lawful basis recorded for each processing activity?,ROPA lawful basis column privacy notice mapping,,,,,Lawful basis not documented,Map Article 6 lawful basis and Article 9 condition,Data Protection Lead,,Open
SCD-01,Special Category Data,Is health and care data classified as special category data?,Data classification standard care record access policy,,,,,No clear classification,Define classification and handling rules for health/care data,Information Governance Lead,,Open
SCD-02,Special Category Data,Are access controls role-based for care records?,User access matrix access review report,,,,,Access not periodically reviewed,Introduce quarterly access reviews and leaver checks,IT Lead,,Open
TRN-01,Transparency,Are privacy notices clear and available to service users and families?,Service user privacy notice website notice welcome pack,,,,,Notice missing or too generic,Update privacy notices using layered clear language,Compliance Lead,,Open
TRN-02,Transparency,Does the staff privacy notice cover HR payroll DBS and monitoring?,Staff privacy notice employee handbook,,,,,Staff notice incomplete,Refresh staff notice and issue acknowledgement,HR Manager,,Open
IR-01,Individual Rights,Is there a documented SAR process?,SAR procedure SAR log response templates,,,,,Informal SAR handling,Create SAR workflow and log with due dates,Compliance Lead,,Open
IR-02,Individual Rights,Are staff trained to recognise rights requests?,Training records induction pack,,,,,Staff may miss verbal requests,Include rights requests in annual training,Training Lead,,Open
DPIA-01,DPIA & Privacy by Design,Is DPIA screening performed before new systems or high-risk processing?,DPIA screening forms project checklist,,,,,No DPIA screening process,Introduce DPIA screening for projects suppliers CCTV and monitoring,Data Protection Lead,,Open
DPIA-02,DPIA & Privacy by Design,Is there a DPIA register?,DPIA register completed DPIAs action tracker,,,,,No central DPIA record,Create DPIA register and review outstanding mitigations,Data Protection Lead,,Open
DS-01,Data Sharing,Are regular sharing partners documented?,Data sharing map partner list,,,,,Sharing partners incomplete,Map sharing with local authorities NHS GP pharmacy emergency services suppliers,Registered Manager,,Open
DS-02,Data Sharing,Are data sharing agreements in place where appropriate?,Data sharing agreements MoUs contracts,,,,,No agreement evidence,Create or review agreements for controller-controller sharing,Compliance Lead,,Open
SUP-01,Supplier Management,Are processor contracts reviewed for UK GDPR clauses?,Supplier contracts DPA clauses due diligence checklist,,,,,Contracts not reviewed,Review processor clauses security requirements and deletion terms,Procurement/Compliance,,Open
